Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-04-26,182.31,183.0,180.11,181.71,4471593.0,0.0,1.0,180.90761538461538,181.59230769230768,178.7245384615385,180.31223076923078,4471593.0
2017-04-27,182.59,183.76,182.59,183.22,3129075.0,0.0,1.0,181.18546153846154,182.34646153846154,181.18546153846154,181.81061538461537,3129075.0
2017-04-28,183.42,184.93,183.02,184.83,2181592.0,0.0,1.0,182.00907692307692,183.50746153846154,181.61215384615386,183.40823076923078,2181592.0
2017-05-01,184.23,184.485,181.8,182.39,3516749.0,0.0,1.0,182.81284615384615,183.06588461538465,180.40153846153848,180.987,3516749.0
2017-05-02,182.54,183.91,182.53,183.44,1979787.0,0.0,1.0,181.13584615384616,182.4953076923077,181.12592307692307,182.0289230769231,1979787.0
2017-05-03,183.45,183.75,182.25,183.39,2983245.0,0.0,1.0,182.03884615384615,182.33653846153845,180.84807692307692,181.97930769230769,2983245.0
2017-05-04,183.33,184.25,182.18,183.07,2289326.0,0.0,1.0,181.91976923076925,182.83269230769233,180.7786153846154,181.66176923076924,2289326.0
2017-05-05,183.16,185.07,183.16,185.01,2636917.0,0.0,1.0,181.75107692307694,183.64638461538462,181.75107692307694,183.58684615384615,2636917.0
2017-05-08,185.38,186.39,185.0,186.02,1963569.0,0.0,1.0,183.954,184.95623076923076,183.5769230769231,184.58907692307693,1963569.0
2017-05-09,186.11,187.205,186.05,186.91,3003956.0,0.0,1.0,184.67838461538463,185.76496153846156,184.61884615384616,185.47223076923078,3003956.0
2017-05-10,185.14,185.65,178.18,183.18,7060056.0,1.42,1.0,185.14,185.65,178.18,183.18,7060056.0
2017-05-11,182.9,184.33,182.17,183.94,2883815.0,0.0,1.0,182.9,184.33,182.17,183.94,2883815.0
2017-05-12,183.71,183.98,182.63,183.25,3479223.0,0.0,1.0,183.71,183.98,182.63,183.25,3479223.0
2017-05-15,183.3,184.11,182.28,182.39,3357465.0,0.0,1.0,183.3,184.11,182.28,182.39,3357465.0
2017-05-16,182.73,183.15,182.04,182.7,2156147.0,0.0,1.0,182.73,183.15,182.04,182.7,2156147.0
2017-05-17,181.39,181.52,178.68,178.78,2535741.0,0.0,1.0,181.39,181.52,178.68,178.78,2535741.0
2017-05-18,178.48,178.5,175.471,177.4,3118075.0,0.0,1.0,178.48,178.5,175.471,177.4,3118075.0
2017-05-19,177.73,181.42,176.77,180.76,4038909.0,0.0,1.0,177.73,181.42,176.77,180.76,4038909.0
2017-05-22,183.78,185.32,182.52,183.67,2945550.0,0.0,1.0,183.78,185.32,182.52,183.67,2945550.0
2017-05-23,184.0,184.46,182.86,183.49,2123758.0,0.0,1.0,184.0,184.46,182.86,183.49,2123758.0
2017-05-24,183.46,185.4,183.46,185.25,2425305.0,0.0,1.0,183.46,185.4,183.46,185.25,2425305.0
2017-05-25,185.63,187.42,185.59,187.07,2363319.0,0.0,1.0,185.63,187.42,185.59,187.07,2363319.0
2017-05-26,186.73,187.605,186.27,186.59,1735778.0,0.0,1.0,186.73,187.605,186.27,186.59,1735778.0
2017-05-30,186.76,187.42,186.19,186.88,2231571.0,0.0,1.0,186.76,187.42,186.19,186.88,2231571.0
2017-05-31,187.37,188.26,186.72,187.63,5186677.0,0.0,1.0,187.37,188.26,186.72,187.63,5186677.0
2017-06-01,187.41,187.91,184.53,187.32,2870233.0,0.0,1.0,187.41,187.91,184.53,187.32,2870233.0
2017-06-02,187.82,191.7,187.6499,190.23,3034227.0,0.0,1.0,187.82,191.7,187.6499,190.23,3034227.0
2017-06-05,190.07,190.74,188.81,188.95,2522113.0,0.0,1.0,190.07,190.74,188.81,188.95,2522113.0
2017-06-06,188.41,188.86,186.685,186.75,2724995.0,0.0,1.0,188.41,188.86,186.685,186.75,2724995.0
2017-06-07,186.85,188.54,186.3926,188.1,2383898.0,0.0,1.0,186.85,188.54,186.3926,188.1,2383898.0
2017-06-08,188.1,191.07,187.7,189.93,2340325.0,0.0,1.0,188.1,191.07,187.7,189.93,2340325.0
2017-06-09,190.0,190.99,189.25,190.03,3344896.0,0.0,1.0,190.0,190.99,189.25,190.03,3344896.0
2017-06-12,190.3,190.53,188.05,190.0,2730111.0,0.0,1.0,190.3,190.53,188.05,190.0,2730111.0
2017-06-13,190.05,191.56,189.35,191.09,1882684.0,0.0,1.0,190.05,191.56,189.35,191.09,1882684.0
2017-06-14,191.05,193.38,190.819,192.38,2209303.0,0.0,1.0,191.05,193.38,190.819,192.38,2209303.0
2017-06-15,191.43,195.55,191.37,195.45,2894081.0,0.0,1.0,191.43,195.55,191.37,195.45,2894081.0
2017-06-16,196.01,197.95,195.81,196.44,6939081.0,0.0,1.0,196.01,197.95,195.81,196.44,6939081.0
2017-06-19,197.88,199.47,197.0,199.08,2725972.0,0.0,1.0,197.88,199.47,197.0,199.08,2725972.0
2017-06-20,198.75,201.24,198.31,198.33,3077408.0,0.0,1.0,198.75,201.24,198.31,198.33,3077408.0
2017-06-21,199.58,199.71,197.56,199.17,3151125.0,0.0,1.0,199.58,199.71,197.56,199.17,3151125.0
2017-06-22,199.25,200.409,199.18,199.44,3339255.0,0.0,1.0,199.25,200.409,199.18,199.44,3339255.0
2017-06-23,199.26,202.35,198.68,202.23,4310050.0,0.0,1.0,199.26,202.35,198.68,202.23,4310050.0
2017-06-26,202.77,204.39,199.94,199.98,3077632.0,0.0,1.0,202.77,204.39,199.94,199.98,3077632.0
2017-06-27,199.8,200.92,198.89,198.89,2296887.0,0.0,1.0,199.8,200.92,198.89,198.89,2296887.0
2017-06-28,199.5,200.95,199.3,199.62,2096507.0,0.0,1.0,199.5,200.95,199.3,199.62,2096507.0
2017-06-29,199.62,199.755,196.45,197.46,2428873.0,0.0,1.0,199.62,199.755,196.45,197.46,2428873.0
2017-06-30,198.5,199.44,197.3901,197.75,2225564.0,0.0,1.0,198.5,199.44,197.3901,197.75,2225564.0
2017-07-03,198.07,199.44,197.75,198.59,1511163.0,0.0,1.0,198.07,199.44,197.75,198.59,1511163.0
2017-07-05,199.3,202.14,198.86,201.81,2716674.0,0.0,1.0,199.3,202.14,198.86,201.81,2716674.0
2017-07-06,201.64,202.49,200.78,201.48,2737400.0,0.0,1.0,201.64,202.49,200.78,201.48,2737400.0
2017-07-07,202.24,203.28,201.26,202.37,3090441.0,0.0,1.0,202.24,203.28,201.26,202.37,3090441.0
2017-07-10,202.32,204.58,202.19,203.96,2701928.0,0.0,1.0,202.32,204.58,202.19,203.96,2701928.0
2017-07-11,204.0,206.66,204.0,206.27,2815630.0,0.0,1.0,204.0,206.66,204.0,206.27,2815630.0
2017-07-12,206.95,208.61,206.32,206.44,2817350.0,0.0,1.0,206.95,208.61,206.32,206.44,2817350.0
2017-07-13,206.8,207.0,205.35,206.23,1943575.0,0.0,1.0,206.8,207.0,205.35,206.23,1943575.0
2017-07-14,206.7979,208.73,206.74,208.51,3228684.0,0.0,1.0,206.7979,208.73,206.74,208.51,3228684.0
2017-07-17,208.73,209.72,208.56,209.0,2415679.0,0.0,1.0,208.73,209.72,208.56,209.0,2415679.0
2017-07-18,209.11,209.19,207.53,208.24,1943144.0,0.0,1.0,209.11,209.19,207.53,208.24,1943144.0
